"TCGA.AF.2687.01"	"TCGA.AF.2690.01"	"TCGA.AF.2693.01"	"TCGA.AF.3911.01"	"TCGA.AF.4110.01"	"TCGA.AF.5654.01"	"TCGA.AF.6136.01"	"TCGA.AF.6655.01"	"TCGA.AF.6672.01"	"TCGA.AF.A56K.01"	"TCGA.AF.A56L.01"	"TCGA.AF.A56N.01"	"TCGA.AG.3591.01"	"TCGA.AG.3592.01"	"TCGA.AG.3725.01"	"TCGA.AG.3731.01"	"TCGA.AG.3732.01"	"TCGA.AG.3742.01"	"TCGA.AG.4021.01"	"TCGA.AG.4022.01"	"TCGA.AH.6544.01"	"TCGA.AH.6547.01"	"TCGA.AH.6549.01"	"TCGA.AH.6643.01"	"TCGA.AH.6644.01"	"TCGA.AH.6897.01"	"TCGA.AH.6903.01"	"TCGA.BM.6198.01"	"TCGA.CI.6619.01"	"TCGA.CI.6620.01"	"TCGA.CI.6621.01"	"TCGA.CI.6622.01"	"TCGA.CI.6623.01"	"TCGA.CI.6624.01"	"TCGA.CL.4957.01"	"TCGA.CL.5917.01"	"TCGA.CL.5918.01"	"TCGA.DC.4745.01"	"TCGA.DC.4749.01"	"TCGA.DC.5337.01"	"TCGA.DC.5869.01"	"TCGA.DC.6154.01"	"TCGA.DC.6155.01"	"TCGA.DC.6156.01"	"TCGA.DC.6157.01"	"TCGA.DC.6158.01"	"TCGA.DC.6160.01"	"TCGA.DC.6681.01"	"TCGA.DC.6682.01"	"TCGA.DC.6683.01"	"TCGA.DT.5265.01"	"TCGA.DY.A0XA.01"	"TCGA.DY.A1DC.01"	"TCGA.DY.A1DD.01"	"TCGA.DY.A1DE.01"	"TCGA.DY.A1DF.01"	"TCGA.DY.A1DG.01"	"TCGA.DY.A1H8.01"	"TCGA.EF.5830.01"	"TCGA.EF.5831.01"	"TCGA.EI.6506.01"	"TCGA.EI.6507.01"	"TCGA.EI.6508.01"	"TCGA.EI.6509.01"	"TCGA.EI.6510.01"	"TCGA.EI.6511.01"	"TCGA.EI.6512.01"	"TCGA.EI.6513.01"	"TCGA.EI.6514.01"	"TCGA.EI.6881.01"	"TCGA.EI.6882.01"	"TCGA.EI.6883.01"	"TCGA.EI.6884.01"	"TCGA.EI.6885.01"	"TCGA.EI.6917.01"	"TCGA.EI.7002.01"	"TCGA.EI.7004.01"	"TCGA.F5.6464.01"	"TCGA.F5.6465.01"	"TCGA.F5.6571.01"	"TCGA.F5.6702.01"	"TCGA.F5.6810.01"	"TCGA.F5.6811.01"	"TCGA.F5.6812.01"	"TCGA.F5.6813.01"	"TCGA.F5.6814.01"	"TCGA.F5.6861.01"	"TCGA.F5.6863.01"	"TCGA.F5.6864.01"	"TCGA.G5.6233.01"	"TCGA.G5.6235.01"	"TCGA.G5.6572.01"	"TCGA.G5.6641.01"
"hsa-mir-409"	4.8411	5.2707	4.8545	4.6244	4.4991	5.0568	4.7448	5.8167	4.5663	5.6793	6.1259	5.7418	3.29	4.8026	4.4446	5.4838	3.0666	4.8618	3.8906	4.5069	4.7468	4.8779	4.9822	4.2073	5.2411	5.6035	4.3217	5.0091	4.7739	5.484	5.0943	4.699	6.013	5.2174	5.2829	4.8149	4.1543	4.5944	5.3935	5.5253	4.9856	5.2774	6.0372	4.7779	4.7154	4.8664	4.5313	4.2209	4.6847	4.3957	7.1527	3.8893	5.6386	4.517	4.1761	3.6185	3.766	4.8765	4.1501	4.598	4.5691	3.5954	4.3968	5.2483	3.8561	4.8593	5.1522	4.95	3.9406	4.8323	5.0381	5.58	4.6472	4.5069	4.7997	4.2668	5.6618	5.0452	5.5405	4.4682	5.9745	4.1918	5.5455	4.4671	5.0772	4.4462	5.7643	4.4064	5.3831	4.2672	5.0598	6.0163	5.1315
"hsa-mir-1302-8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-642"	0.3775	2.0764	1.784	0.5124	1.5789	0.7075	2.6356	0.8689	2.3515	NA	NA	NA	1.8374	0.5746	2.6908	1.3925	0.5075	0.8113	0.9913	1.5582	2.0291	2.3152	2.4766	0.8735	1.0456	1.2313	2.8924	2.779	2.0044	1.8896	1.2954	1.923	3.1521	1.4301	1.9141	1.9876	1.2292	1.138	1.9241	0.7011	1.1553	1.6829	2.1304	1.5024	0.7606	0.6229	2.3857	1.7088	0.5012	0.8496	4.0178	0.6908	1.953	0.7846	1.1392	2.8209	2.5177	0.4812	1.5488	2.2222	2.9801	1.9971	0.6439	1.7099	2.1753	1.5928	2.2357	1.7965	2.7839	2.3007	2.2608	2.1026	3.4723	1.5955	0.3004	0.2899	0.5252	1.0772	1.3861	1.6318	1.3511	1.5297	1.8792	0.9628	1.5683	1.4257	1.5841	0.7352	0.2396	1.9293	2.6586	0.3648	1.4784
"hsa-mir-544b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-let-7a-2"	14.6557	14.8702	14.1159	13.8904	14.4913	13.3157	13.738	14.3853	13.6374	13.1534	13.3059	13.3608	14.8211	14.2361	14.2902	14.5034	13.8702	12.9288	14.3594	14.2472	14.0116	13.7557	13.8815	14.1314	14.3242	13.7925	13.5053	13.4573	14.0555	14.3145	14.1015	14.1697	13.7541	13.6052	14.2763	13.1357	13.2263	14.1314	13.9991	13.9718	13.5068	13.346	13.3304	13.7629	13.0233	13.0325	13.1749	13.6785	13.9832	13.3401	13.6939	14.6486	13.7035	13.0251	13.8476	13.6534	13.9992	13.3778	13.6679	12.9053	13.5162	14.9779	14.2831	14.9327	13.9207	13.9952	13.6896	14.6313	13.862	13.8474	13.8807	13.7657	13.4933	14.194	13.8543	13.0776	14.4581	14.548	14.2881	13.9331	13.9638	14.0674	14.5384	13.5535	14.3326	14.1112	13.524	13.1734	13.996	13.5359	13.0616	14.6351	13.8974
"hsa-let-7a-3"	13.6759	13.8762	13.1293	12.8954	13.4998	12.3296	12.7347	13.3935	12.6368	12.155	12.3411	12.3518	13.82	13.2408	13.2998	13.5064	12.8821	11.9346	13.3621	13.2677	13.0264	12.7571	12.892	13.1363	13.3127	12.7929	12.5043	12.4448	13.0753	13.3343	13.1196	13.1927	12.7738	12.6097	13.2708	12.1561	12.2269	13.1182	13.0016	12.9909	12.5285	12.3522	12.336	12.7733	12.0486	12.0571	12.198	12.6902	13.004	12.3571	12.705	13.6577	12.716	12.0352	12.8702	12.6515	13.0099	12.3913	12.6613	11.9233	12.5344	13.9784	13.2822	13.9355	12.9178	12.9807	12.7089	13.6193	12.8789	12.8395	12.8662	12.7662	12.5043	13.1847	12.8658	12.0849	13.4612	13.5592	13.2878	12.9452	12.9755	13.0954	13.5373	12.5661	13.3446	13.0958	12.5334	12.1933	12.9932	12.5491	12.0816	13.6467	12.9109
"hsa-let-7a-1"	13.6573	13.8689	13.125	12.8889	13.4913	12.3172	12.7308	13.3895	12.6357	12.1456	12.3246	12.3559	13.8207	13.2411	13.2912	13.5068	12.8832	11.926	13.3493	13.2496	13.015	12.7628	12.8894	13.1316	13.3189	12.7895	12.5068	12.4623	13.0595	13.3253	13.1126	13.1884	12.7444	12.6177	13.2758	12.123	12.2191	13.1211	12.995	12.978	12.5204	12.3504	12.3366	12.7644	12.0203	12.0371	12.199	12.6743	12.992	12.3476	12.7109	13.6555	12.7041	12.0287	12.8554	12.6486	13.0019	12.3677	12.6603	11.8977	12.5181	13.9721	13.2859	13.9308	12.9117	13.0013	12.6884	13.6241	12.8718	12.8527	12.884	12.7465	12.4826	13.1988	12.8683	12.0897	13.4568	13.5535	13.2891	12.9269	12.963	13.0645	13.5438	12.5588	13.3438	13.0889	12.5203	12.1724	12.9989	12.5397	12.0699	13.6275	12.9054
"hsa-mir-4322"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1273c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-1273d"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-566"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-548f-1"	1.2301	1.0039	0	1.3175	0.697	1.1802	0.8336	1.7404	0	1.6059	1.1518	1.8158	0.8131	0.9844	0.3368	0.6246	0.7678	1.772	3.7564	0.754	0.228	0.1916	2.4321	0.7361	0	0.5353	0	1.0336	3.9885	2.0621	1.5315	0.8283	1.7314	0	0.8723	3.8077	1.7454	0.8935	1.4744	0	2.8659	0.8511	0.9747	1.0435	1.0778	0.6229	0	0	1.5208	1.2784	0	1.3422	1.9077	2.2057	0.311	0.1652	0.609	2.0127	0.47	0.688	1.2498	1.6378	0.248	0.4863	0	1.1439	0.9828	2.9948	0.2157	1.5673	0	1.2703	0.6727	0.5902	1.2563	0.5312	0.1503	0.2275	0.7801	1.1573	1.3965	1.3768	0	0.1617	0	0.3574	0.6776	0.4842	0.1248	2.7262	2.4266	0.3648	0.1527
"hsa-mir-567"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3574	0	0	0	0	0	0	0
"hsa-mir-548f-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-378b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-378c"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0572	3.9505	2.7827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-548f-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-3939"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3938"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2269	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3935"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-432"	4.1974	4.9049	2.9969	3.1345	2.9694	3.556	3.5471	3.8848	2.8145	2.8682	3.8923	3.0253	1.775	2.8797	1.9608	3.9281	1.6998	2.5805	2.0647	2.9753	2.8746	3.0678	3.584	2.9677	3.6914	3.5586	2.2115	2.3753	3.354	3.9621	3.0734	3.1556	3.4565	3.0156	4.3492	2.4154	2.673	2.0906	2.7202	3.1914	3.4955	2.4387	3.6534	2.8622	2.4072	3.2824	2.8509	2.6249	3.3998	2.2457	5.2105	2.1302	3.6423	2.4542	3.1403	2.3913	2.4266	2.8219	3.4613	3.0587	3.4492	2.3851	3.8011	3.7032	2.7156	2.4951	3.1391	3.4751	1.9942	3.0355	2.8213	3.3475	2.9693	2.7504	3.2577	2.6648	3.9432	3.6171	3.4172	1.9882	3.5477	3.5358	3.7065	2.4616	3.4654	2.3031	3.5349	2.0206	3.5764	2.2463	3.0611	4.5773	3.026
"hsa-mir-3937"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2979	2.2838	3.3564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-515-2"	0	0	0	0	0	0	0	0	0.1644	0	0.2674	0	0	0	0	0.1833	0	0	0	0.1563	0	0	0	0.2221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1725	0	0	0	0	0	0	0	0	0.3244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0.1132	0	0	0	0	0	0	0	0	0.3034	0	0	0
"hsa-mir-644"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-433"	1.6292	1.0039	0	0.8897	0.9027	1.6851	0.8336	0.7558	0.312	1.9618	1.9453	2.3788	0.2034	1.4395	1.1694	1.3925	0.4344	1.2379	0.2864	1.6132	1.835	1.2751	1.3345	0.8735	1.0456	0.5353	0.8782	0.7033	0.461	1.5271	1.1134	1.1641	2.2366	1.1587	1.6848	0.7522	1.3291	0	1.183	1.4441	1.1553	1.1413	2.1304	0.7445	0.6373	0.536	1.1654	0.9126	1.1675	1.3807	3.5479	0.3863	1.4827	2.2502	0.8812	0.5707	1.4597	1.1295	1.3452	1.5023	0.9743	0.9107	1.0876	1.3803	1.1192	1.493	0.8327	1.3641	0.9162	1.2072	1.8698	1.6407	1.877	1.2314	1.3897	1.2236	1.862	1.7616	1.2836	0.9019	1.0435	0.6606	1.5893	1.1286	0.727	0.3574	1.999	1.0451	1.7434	0.9532	1.1702	2.2005	1.4784
"hsa-mir-27a"	8.7736	9.0588	11.1324	9.143	9.5094	10.1886	10.3537	10.2877	9.9972	11.5017	11.5986	10.9558	9.0916	9.2906	9.5621	9.924	9.2774	9.9846	9.8098	9.7223	10.8481	10.1436	9.3071	9.9719	9.9744	11.4358	10.8776	10.5221	9.4092	9.9615	10.2028	11.0699	10.8673	9.9732	9.6142	10.175	10.7854	9.5951	9.927	10.4629	9.7601	11.0553	11.0036	9.877	10.4474	9.9682	10.467	9.708	10.5608	10.1349	10.1431	9.49	10.8021	10.0112	9.1587	9.5499	10.129	11.0568	9.6775	10.2286	9.4712	9.7783	9.7828	10.7618	10.5065	9.9425	10.41	9.2127	9.3278	11.1166	10.4687	11.3733	10.5425	9.9947	11.4695	10.4088	10.3867	9.3539	9.4962	10.2915	10.4061	8.5338	9.7944	9.927	9.5035	10.5962	10.9515	10.64	10.1928	10.3183	10.9666	9.5367	10.4532
"hsa-mir-27b"	9.0617	9.4023	10.8169	9.5259	9.6894	10.1764	10.3886	9.8502	11.2436	10.8106	10.7204	10.5755	9.963	8.9222	10.3492	9.4828	10.0761	9.9797	10.3872	9.9588	10.7771	10.363	9.7927	11.4584	9.8866	10.6381	10.7469	9.9014	10.5992	11.0554	10.0132	10.6913	10.2023	10.3167	9.6239	10.1465	10.1091	9.4674	9.8939	10.4263	10.1015	9.7133	10.5026	9.8958	9.7177	9.764	9.2882	10.5304	10.3044	9.9544	10.5323	9.1513	10.3776	10.7437	10.2755	10.5869	9.9116	10.5418	10.1827	10.3065	9.5528	9.9211	9.9226	10.157	10.9221	9.2888	9.9058	9.2743	9.6057	10.7311	9.9519	11.0156	10.46	11.383	10.4381	9.5802	10.6407	9.6346	9.0701	10.1128	10.51	9.2802	9.4947	10.0768	9.545	10.0765	10.6724	10.4844	10.1515	10.4653	10.9262	9.9344	11.0471
"hsa-mir-431"	3.5005	3.6395	3.5203	2.7563	2.8502	4.0995	3.7564	4.0618	3.4618	3.9521	4.1457	4.3747	1.7097	3.7782	2.3623	4.2178	2.383	3.5319	2.698	2.9109	3.5797	3.5943	3.9893	2.8725	4.12	4.3763	3.272	3.1965	3.2721	4.3758	4.1359	4.0181	4.4821	3.9668	4.0924	4.1231	3.2586	2.9104	2.7748	3.7398	3.9752	3.6152	5.059	3.6078	3.8548	3.9193	4.1216	3.2963	3.6351	2.9417	6.2238	2.2745	4.2621	3.0528	2.9058	2.5491	2.6841	2.8486	3.0892	4.1291	3.8447	2.4792	3.3489	4.0088	2.5082	2.9362	3.8552	3.4155	2.4637	3.2492	3.7154	3.5053	3.9592	3.2365	3.6255	2.6132	4.0427	3.7142	3.8706	2.9234	4.2261	2.7041	4.316	3.2897	3.9461	2.5306	3.7643	2.5973	3.2601	2.9611	3.4183	4.839	3.0841
"hsa-mir-3714"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-708"	5.773	6.3618	5.3871	5.1029	4.9512	5.1106	4.7862	6.4758	4.7392	7.1413	6.8689	6.6122	2.8495	5.6059	4.04	6.0417	4.3747	5.1402	5.9803	5.9905	4.6419	6.0045	5.3303	4.4353	6.1717	5.3411	4.4191	6.3286	4.9156	7.256	6.0093	5.2683	6.7607	6.3877	5.097	5.3058	5.5353	4.9867	7.7571	5.8291	6.2512	2.9321	5.5199	6.6943	6.1005	7.2039	4.3845	5.848	7.1938	6.387	6.1571	6.4013	6.8414	5.2368	4.4781	6.037	4.7215	6.2497	4.6144	4.9226	3.7295	6.366	5.1035	6.3617	4.4661	5.6554	5.4834	4.7354	5.1072	4.0339	4.1752	6.5862	4.8391	6.2379	7.1305	5.3439	5.4997	5.913	6.3741	6.1183	6.9179	4.5186	6.5559	6.655	6.2503	5.4222	6.2618	5.6682	5.6937	5.0574	5.524	8.2768	5.1269
"hsa-mir-3659"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3713"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-621"	0	0	0	0	0	0	0	0.1861	0	0	0	0	0	0	0.0919	0	0	0	0	0	0	0	0	0	0	0.5353	0	0.2743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2723	0	0	0	0	0	0	0	0.2327	0.1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5539	0	0	0
"hsa-mir-3655"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-616"	1.9415	1.8537	1.2609	2.0697	1.3867	2.6737	1.2039	1.3305	1.7195	0.8888	1.5023	2.3788	1.8374	2.4977	1.5716	2.1329	0.5075	1.1425	1.3431	2.148	0.8921	0.649	3.792	1.501	1.8294	3.0336	1.8132	1.1741	1.6187	1.9347	1.3785	2.1915	1.1112	0.9444	2.581	1.2442	1.7454	1.2463	2.9272	1.4441	1.8512	2.3842	1.5511	1.0435	1.1697	0.7049	1.317	1.4672	2.0411	1.3305	2.4603	1.7893	1.7108	2.5989	1.7678	1.0648	3.7844	1.3695	1.886	2.3997	2.1068	3.2399	2.508	1.8766	2.0786	2.6421	3.2617	2.3357	1.7393	1.2072	2.9684	2.1796	1.4762	2.5574	2.0843	1.6896	1.069	1.4818	2.5013	1.527	1.5652	1.2057	1.5067	0.4393	1.2081	3.1025	1.8471	1.3	0.8583	1.9293	1.1702	1.8438	1.5896
"hsa-mir-3657"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3650"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
